ServiceType,AvgServiceDurationMins,DayOfWeek,HourOfDay,QueueLengthAtJoin,StaffOnDuty,ActualWaitMinutes,IsNoShow
Beard Trim,20,1,18,0,3,6.0,0
Beard Trim,20,3,12,0,2,9.2,0
Buzz Cut,15,5,13,1,3,8.2,0
Beard Trim,20,6,17,0,3,6.8,0
Buzz Cut,15,6,16,2,3,17.1,0
Haircut + Beard,45,6,18,0,3,16.2,0
Haircut,30,0,11,0,2,14.9,0
Haircut,30,6,11,4,3,50.0,1
Haircut,30,6,18,2,3,34.8,0
Buzz Cut,15,6,14,4,3,25.1,0
Haircut + Beard,45,4,18,4,3,74.9,0
Beard Trim,20,5,13,5,3,34.5,0
Haircut + Beard,45,5,13,1,3,36.0,0
Haircut + Beard,45,5,10,1,3,26.0,0
Beard Trim,20,1,11,0,2,10.4,0
Haircut + Beard,45,4,11,0,2,27.0,0
Haircut + Beard,45,5,17,2,3,37.9,0
Haircut + Beard,45,0,15,0,2,25.5,0
Haircut,30,4,14,2,2,53.7,0
Buzz Cut,15,6,9,1,3,9.6,0
Haircut,30,3,14,1,2,27.6,0
Buzz Cut,15,6,17,1,3,9.9,0
Haircut + Beard,45,6,13,4,3,79.1,0
Beard Trim,20,4,15,2,2,31.6,0
Haircut + Beard,45,6,14,1,3,28.7,0
Beard Trim,20,6,11,5,3,37.8,0
Haircut,30,6,14,2,3,32.4,0
Buzz Cut,15,0,15,2,2,21.5,0
Haircut,30,4,11,0,2,15.3,0
Haircut,30,3,11,1,2,29.4,0
Beard Trim,20,5,13,2,3,17.5,0
Haircut,30,4,15,2,2,47.3,1
Buzz Cut,15,6,12,1,3,8.1,0
Haircut,30,6,16,0,3,9.0,0
Haircut,30,5,10,3,3,36.6,0
Haircut,30,4,17,0,3,10.2,0
Beard Trim,20,2,11,0,2,9.3,0
Haircut,30,0,18,2,3,30.1,1
Haircut,30,1,15,1,2,25.7,0
Buzz Cut,15,0,16,1,3,11.7,1
Buzz Cut,15,5,12,3,3,22.5,0
Haircut,30,5,11,2,3,25.7,0
Haircut,30,2,16,2,3,22.9,0
Haircut,30,1,16,0,3,10.1,0
Haircut,30,6,10,1,3,17.5,0
Haircut,30,4,11,0,2,16.3,0
Haircut,30,1,13,3,2,55.0,0
Beard Trim,20,4,16,1,3,12.4,0
Beard Trim,20,2,12,0,2,9.7,0
Buzz Cut,15,0,10,2,2,18.2,0
Haircut,30,6,10,0,3,8.8,0
Haircut + Beard,45,6,11,4,3,79.7,0
